Anlage;Intervallbeginn (UTC);Intervallbeginn (Lokalzeit);Intervall [ms];A53_M2_1126 (Belegungen/Intervall);A53_M2_1126 (Verweilzeit/Intervall) [ms];A57_M4_1121 (Belegungen/Intervall);A57_M4_1121 (Verweilzeit/Intervall) [ms];D11 (Belegungen/Intervall);D11 (Verweilzeit/Intervall) [ms];D12 (Belegungen/Intervall);D12 (Verweilzeit/Intervall) [ms];D20 (Belegungen/Intervall);D20 (Verweilzeit/Intervall) [ms];D21 (Belegungen/Intervall);D21 (Verweilzeit/Intervall) [ms];D22 (Belegungen/Intervall);D22 (Verweilzeit/Intervall) [ms];D23 (Belegungen/Intervall);D23 (Verweilzeit/Intervall) [ms];D30 (Belegungen/Intervall);D30 (Verweilzeit/Intervall) [ms];D33 (Belegungen/Intervall);D33 (Verweilzeit/Intervall) [ms];D34 (Belegungen/Intervall);D34 (Verweilzeit/Intervall) [ms];D35 (Belegungen/Intervall);D35 (Verweilzeit/Intervall) [ms];D41 (Belegungen/Intervall);D41 (Verweilzeit/Intervall) [ms];D42 (Belegungen/Intervall);D42 (Verweilzeit/Intervall) [ms];D43 (Belegungen/Intervall);D43 (Verweilzeit/Intervall) [ms];D53 (Belegungen/Intervall);D53 (Verweilzeit/Intervall) [ms];D57 (Belegungen/Intervall);D57 (Verweilzeit/Intervall) [ms];H53_M1_1124 (Belegungen/Intervall);H53_M1_1124 (Verweilzeit/Intervall) [ms];H57_M3_1120 (Belegungen/Intervall);H57_M3_1120 (Verweilzeit/Intervall) [ms];H5_M5_1125 (Belegungen/Intervall);H5_M5_1125 (Verweilzeit/Intervall) [ms];Schluessel_S53 (Belegungen/Intervall);Schluessel_S53 (Verweilzeit/Intervall) [ms];Schluessel_S57 (Belegungen/Intervall);Schluessel_S57 (Verweilzeit/Intervall) [ms];T1_T2 (Belegungen/Intervall);T1_T2 (Verweilzeit/Intervall) [ms];T3_T4 (Belegungen/Intervall);T3_T4 (Verweilzeit/Intervall) [ms];T5_T6 (Belegungen/Intervall);T5_T6 (Verweilzeit/Intervall) [ms]
A001;31.01.2025 23:00:00;01.02.2025 00:00:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;4;3520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:01:00;01.02.2025 00:01:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;5;1440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:02:00;01.02.2025 00:02:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;1160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:03:00;01.02.2025 00:03:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:04:00;01.02.2025 00:04:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;7;7272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:05:00;01.02.2025 00:05:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;4;4150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:06:00;01.02.2025 00:06:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;2240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:07:00;01.02.2025 00:07:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;4;2520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:08:00;01.02.2025 00:08:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:09:00;01.02.2025 00:09:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;3;1690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:10:00;01.02.2025 00:10:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;1120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:11:00;01.02.2025 00:11:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;4;3170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:12:00;01.02.2025 00:12:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;3;1820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:13:00;01.02.2025 00:13:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;5;3740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:14:00;01.02.2025 00:14:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;1100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:15:00;01.02.2025 00:15:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:16:00;01.02.2025 00:16:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;1320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:17:00;01.02.2025 00:17:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:18:00;01.02.2025 00:18:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;1380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:19:00;01.02.2025 00:19:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;3;1980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:20:00;01.02.2025 00:20:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:21:00;01.02.2025 00:21:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:22:00;01.02.2025 00:22:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:23:00;01.02.2025 00:23:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;1;330;0;60000;0;60000;2;1220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:24:00;01.02.2025 00:24:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:25:00;01.02.2025 00:25:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:26:00;01.02.2025 00:26:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;1160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:27:00;01.02.2025 00:27:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:28:00;01.02.2025 00:28:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;660;0;0;0;0;1;7570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:29:00;01.02.2025 00:29:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;1700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:30:00;01.02.2025 00:30:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;2;1210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:31:00;01.02.2025 00:31:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;4;1820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A001;31.01.2025 23:32:00;01.02.2025 00:32:00;60000;0;0;0;0;0;60000;0;60000;0;0;0;0;0;0;0;60000;0;0;0;0;0;60000;0;60000;1;990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
